geometry_id,volume_id,layer_id,surface_id,type_loc0,nbins_loc0,min_loc0,max_loc0,type_loc1,nbins_loc1,min_loc1,max_loc1
864691403333042176,12,4,3,3,2,42,173.785065,4,36,-3.14159274,3.14159274
864691540771995648,12,6,5,3,2,42,173.785065,4,36,-3.14159274,3.14159274
864691678210949120,12,8,7,3,2,42,173.785065,4,36,-3.14159274,3.14159274
864691815649902592,12,10,9,3,2,42,173.785065,4,36,-3.14159274,3.14159274
864691953088856064,12,12,11,3,2,42,173.785065,4,36,-3.14159274,3.14159274
864692090527809536,12,14,13,3,2,42,173.785065,4,36,-3.14159274,3.14159274
864692227966763008,12,16,15,3,2,42,173.785065,4,36,-3.14159274,3.14159274
936748859932016640,13,2,1,4,16,-3.14159274,3.14159274,2,14,-504,510.5
936748997370970112,13,4,3,4,32,-3.14159274,3.14159274,2,14,-504,510.5
936749134809923584,13,6,5,4,52,-3.14159274,3.14159274,2,14,-504,510.5
936749272248877056,13,8,7,4,78,-3.14159274,3.14159274,2,14,-504,510.5
1008806453969944576,14,2,1,3,2,42,173.785065,4,36,-3.14159274,3.14159274
1008806591408898048,14,4,3,3,2,42,173.785065,4,36,-3.14159274,3.14159274
1008806728847851520,14,6,5,3,2,42,173.785065,4,36,-3.14159274,3.14159274
1008806866286804992,14,8,7,3,2,42,173.785065,4,36,-3.14159274,3.14159274
1008807003725758464,14,10,9,3,2,42,173.785065,4,36,-3.14159274,3.14159274
1008807141164711936,14,12,11,3,2,42,173.785065,4,36,-3.14159274,3.14159274
1008807278603665408,14,14,13,3,2,42,173.785065,4,36,-3.14159274,3.14159274
1224979236083728384,17,2,1,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1224979373522681856,17,4,3,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1224979510961635328,17,6,5,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1224979648400588800,17,8,7,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1224979785839542272,17,10,9,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1224979923278495744,17,12,11,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1297036830121656320,18,2,1,4,40,-3.14159274,3.14159274,2,21,-1134,1144
1297036967560609792,18,4,3,4,56,-3.14159274,3.14159274,2,21,-1134,1144
1297037104999563264,18,6,5,4,78,-3.14159274,3.14159274,2,21,-1134,1144
1297037242438516736,18,8,7,4,102,-3.14159274,3.14159274,2,21,-1134,1144
1369094424159584256,19,2,1,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1369094561598537728,19,4,3,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1369094699037491200,19,6,5,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1369094836476444672,19,8,7,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1369094973915398144,19,10,9,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1369095111354351616,19,12,11,3,3,240,702.268433,4,42,-3.14159274,3.14159274
1585267206273368064,22,2,1,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1585267343712321536,22,4,3,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1585267481151275008,22,6,5,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1585267618590228480,22,8,7,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1585267756029181952,22,10,9,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1585267893468135424,22,12,11,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1657324800311296000,23,2,1,4,60,-3.14159274,3.14159274,2,21,-1135.87634,1145.87634
1657324937750249472,23,4,3,4,80,-3.14159274,3.14159274,2,21,-1135.87634,1145.87634
1729382394349223936,24,2,1,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1729382531788177408,24,4,3,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1729382669227130880,24,6,5,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1729382806666084352,24,8,7,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1729382944105037824,24,10,9,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
1729383081543991296,24,12,11,3,2,741.835999,1074.41174,4,48,-3.14159274,3.14159274
